query,image_id,relevance
A white shirt with a tie,img_0009,1
A white shirt with a tie,img_0324,1
A white shirt with a tie,img_0428,1
A white shirt with a tie,img_0446,1
A white shirt with a tie,img_0679,1
A white shirt with a tie,img_0707,1
A white shirt with a tie,img_0731,1
A white shirt with a tie,img_0920,2
A white shirt with a tie,img_0947,1
A white shirt with a tie,img_0966,1
A white shirt with a tie,img_0968,2
Casual outfit in an urban street,img_0046,2
Casual outfit in an urban street,img_0103,1
Casual outfit in an urban street,img_0110,2
Casual outfit in an urban street,img_0223,2
Casual outfit in an urban street,img_0342,2
Casual outfit in an urban street,img_0359,2
Casual outfit in an urban street,img_0388,2
Casual outfit in an urban street,img_0572,2
Casual outfit in an urban street,img_0807,2
Casual outfit in an urban street,img_0821,2
Casual outfit in an urban street,img_0954,2
Casual outfit in an urban street,img_0994,2
Casual weekend outfit for a city walk,img_0031,2
Casual weekend outfit for a city walk,img_0110,2
Casual weekend outfit for a city walk,img_0241,1
Casual weekend outfit for a city walk,img_0376,2
Casual weekend outfit for a city walk,img_0572,2
Casual weekend outfit for a city walk,img_0689,1
Casual weekend outfit for a city walk,img_0693,1
Casual weekend outfit for a city walk,img_0807,2
Casual weekend outfit for a city walk,img_0840,2
Casual weekend outfit for a city walk,img_0847,2
Casual weekend outfit for a city walk,img_0994,2
Professional business attire inside a modern office,img_0088,0
Professional business attire inside a modern office,img_0095,1
Professional business attire inside a modern office,img_0113,2
Professional business attire inside a modern office,img_0187,1
Professional business attire inside a modern office,img_0296,1
Professional business attire inside a modern office,img_0394,1
Professional business attire inside a modern office,img_0493,1
Professional business attire inside a modern office,img_0648,1
Professional business attire inside a modern office,img_0758,1
Professional business attire inside a modern office,img_0966,1
Someone sitting in a green park,img_0064,2
Someone sitting in a green park,img_0077,0
Someone sitting in a green park,img_0105,2
Someone sitting in a green park,img_0225,2
Someone sitting in a green park,img_0253,2
Someone sitting in a green park,img_0424,2
Someone sitting in a green park,img_0556,2
Someone sitting in a green park,img_0803,2
Someone sitting in a green park,img_0835,2
Someone sitting in a green park,img_0886,1
Someone wearing a blue shirt sitting on a park bench,img_0104,2
Someone wearing a blue shirt sitting on a park bench,img_0115,0
Someone wearing a blue shirt sitting on a park bench,img_0253,1
Someone wearing a blue shirt sitting on a park bench,img_0257,1
Someone wearing a blue shirt sitting on a park bench,img_0284,1
Someone wearing a blue shirt sitting on a park bench,img_0424,1
Someone wearing a blue shirt sitting on a park bench,img_0455,1
Someone wearing a blue shirt sitting on a park bench,img_0542,0
Someone wearing a blue shirt sitting on a park bench,img_0639,0
Someone wearing a blue shirt sitting on a park bench,img_0773,1
Someone wearing a blue shirt sitting on a park bench,img_0803,2
Someone wearing a blue shirt sitting on a park bench,img_0885,1
Someone wearing a white shirt,img_0009,2
Someone wearing a white shirt,img_0428,2
Someone wearing a white shirt,img_0446,2
Someone wearing a white shirt,img_0477,2
Someone wearing a white shirt,img_0890,2
Someone wearing a white shirt,img_0896,2
Someone wearing a white shirt,img_0968,2
Someone wearing a white shirt,img_0972,2
