query,category,rank,image_id,image_path,final_score
A person wearing a red shirt,garment,2,img_0286,data\raw\img_0286.jpg,0.9213555880955286
A person wearing a red shirt,garment,3,img_0025,data\raw\img_0025.jpg,0.9193937012127467
A person wearing a red shirt,garment,4,img_0912,data\raw\img_0912.jpg,0.8845054933003016
A person wearing a red shirt,garment,5,img_0240,data\raw\img_0240.jpg,0.8607269355228968
A blue shirt with black pants,compositional,1,img_0197,data\raw\img_0197.jpg,1.0
A blue shirt with black pants,compositional,2,img_0035,data\raw\img_0035.jpg,0.8859274983406067
A blue shirt with black pants,compositional,3,img_0169,data\raw\img_0169.jpg,0.8819661140441895
A blue shirt with black pants,compositional,4,img_0572,data\raw\img_0572.jpg,0.8583169430494308
A blue shirt with black pants,compositional,5,img_0813,data\raw\img_0813.jpg,0.842620849609375
A white shirt with a tie,compositional,1,img_0968,data\raw\img_0968.jpg,0.7525631189346313
A white shirt with a tie,compositional,2,img_0446,data\raw\img_0446.jpg,0.7285120487213135
A white shirt with a tie,compositional,3,img_0009,data\raw\img_0009.jpg,0.6776929795742035
A white shirt with a tie,compositional,4,img_0428,data\raw\img_0428.jpg,0.6771698594093323
A white shirt with a tie,compositional,5,img_0731,data\raw\img_0731.jpg,0.6763460338115692
