query,category,rank,image_id,image_path,final_score
A person wearing a yellow coat,garment,1,img_0238,data\raw\img_0238.jpg,1.000000025419628
A person wearing a yellow coat,garment,2,img_0884,data\raw\img_0884.jpg,0.8988325104993933
A person wearing a yellow coat,garment,3,img_0928,data\raw\img_0928.jpg,0.8554782227558249
A person wearing a yellow coat,garment,4,img_0478,data\raw\img_0478.jpg,0.7929692224544638
A person wearing a yellow coat,garment,5,img_0927,data\raw\img_0927.jpg,0.7756794498247259
A person wearing a red shirt,garment,1,img_0285,data\raw\img_0285.jpg,0.9514082924408072
A person wearing a red shirt,garment,2,img_0286,data\raw\img_0286.jpg,0.9400663779062384
A person wearing a red shirt,garment,3,img_0025,data\raw\img_0025.jpg,0.9323002652210348
A person wearing a red shirt,garment,4,img_0912,data\raw\img_0912.jpg,0.8847414062303656
A person wearing a red shirt,garment,5,img_0425,data\raw\img_0425.jpg,0.8840314404052847
A blue shirt with black pants,compositional,1,img_0572,data\raw\img_0572.jpg,0.9457985672511553
A blue shirt with black pants,compositional,2,img_0197,data\raw\img_0197.jpg,0.9329535576858019
A blue shirt with black pants,compositional,3,img_0679,data\raw\img_0679.jpg,0.9136764916934466
A blue shirt with black pants,compositional,4,img_0241,data\raw\img_0241.jpg,0.8605190131225084
A blue shirt with black pants,compositional,5,img_0444,data\raw\img_0444.jpg,0.817273339942882
A white shirt with a tie,compositional,1,img_0679,data\raw\img_0679.jpg,0.8655728611506914
A white shirt with a tie,compositional,2,img_0446,data\raw\img_0446.jpg,0.6588039429564225
A white shirt with a tie,compositional,3,img_0968,data\raw\img_0968.jpg,0.6229709865231263
A white shirt with a tie,compositional,4,img_0009,data\raw\img_0009.jpg,0.5591782511849153
A white shirt with a tie,compositional,5,img_0947,data\raw\img_0947.jpg,0.5309858353514421
