query,category,rank,image_id,image_path,final_score
Someone wearing a white shirt,garment,4,img_0890,data\raw\img_0890.jpg,0.9246689506939478
Someone wearing a white shirt,garment,5,img_0968,data\raw\img_0968.jpg,0.9051455983093806
A person in a blue jacket,garment,1,img_0579,data\raw\img_0579.jpg,0.9466558226517268
A person in a blue jacket,garment,2,img_0393,data\raw\img_0393.jpg,0.9453028270176478
A person in a blue jacket,garment,3,img_0725,data\raw\img_0725.jpg,0.9028282889298029
A person in a blue jacket,garment,4,img_0583,data\raw\img_0583.jpg,0.8988497682980128
A person in a blue jacket,garment,5,img_0572,data\raw\img_0572.jpg,0.8848701843193598
Casual outfit in an urban street,style_context,1,img_0342,data\raw\img_0342.jpg,0.9177952408790588
Casual outfit in an urban street,style_context,2,img_0223,data\raw\img_0223.jpg,0.8085382282733917
Casual outfit in an urban street,style_context,3,img_0821,data\raw\img_0821.jpg,0.7848951667547226
Casual outfit in an urban street,style_context,4,img_0994,data\raw\img_0994.jpg,0.7837971746921539
Casual outfit in an urban street,style_context,5,img_0103,data\raw\img_0103.jpg,0.7737430334091187
Someone sitting in a green park,context,1,img_0064,data\raw\img_0064.jpg,1.0
Someone sitting in a green park,context,2,img_0424,data\raw\img_0424.jpg,0.7257802486419678
Someone sitting in a green park,context,3,img_0835,data\raw\img_0835.jpg,0.7215441465377808
Someone sitting in a green park,context,4,img_0253,data\raw\img_0253.jpg,0.6836725771427155
Someone sitting in a green park,context,5,img_0105,data\raw\img_0105.jpg,0.668867439031601
A formal blazer outfit,style,1,img_0095,data\raw\img_0095.jpg,0.9704388485235327
A formal blazer outfit,style,2,img_0152,data\raw\img_0152.jpg,0.9209624634069555
A formal blazer outfit,style,3,img_0187,data\raw\img_0187.jpg,0.9111321822685354
A formal blazer outfit,style,4,img_0966,data\raw\img_0966.jpg,0.8842363164705389
A formal blazer outfit,style,5,img_0731,data\raw\img_0731.jpg,0.8788715110105627
A person wearing a yellow coat,garment,1,img_0238,data\raw\img_0238.jpg,1.0000000127724238
A person wearing a yellow coat,garment,2,img_0884,data\raw\img_0884.jpg,0.8997994491032191
A person wearing a yellow coat,garment,3,img_0928,data\raw\img_0928.jpg,0.8552237578800745
A person wearing a yellow coat,garment,4,img_0478,data\raw\img_0478.jpg,0.7935104199818201
A person wearing a yellow coat,garment,5,img_0600,data\raw\img_0600.jpg,0.7781489470175333
A person wearing a red shirt,garment,1,img_0025,data\raw\img_0025.jpg,0.9551729091576167
A person wearing a red shirt,garment,2,img_0286,data\raw\img_0286.jpg,0.9527812429836817
A person wearing a red shirt,garment,3,img_0285,data\raw\img_0285.jpg,0.9512768217495509
A person wearing a red shirt,garment,4,img_0912,data\raw\img_0912.jpg,0.908055258648736
A person wearing a red shirt,garment,5,img_0425,data\raw\img_0425.jpg,0.895917487995965
A blue shirt with black pants,compositional,1,img_0197,data\raw\img_0197.jpg,0.9477214813232422
A blue shirt with black pants,compositional,2,img_0572,data\raw\img_0572.jpg,0.9356358051300049
A blue shirt with black pants,compositional,3,img_0679,data\raw\img_0679.jpg,0.9254915118217468
A blue shirt with black pants,compositional,4,img_0010,data\raw\img_0010.jpg,0.9040558636188507
A blue shirt with black pants,compositional,5,img_0110,data\raw\img_0110.jpg,0.895786240696907
A white shirt with a tie,compositional,1,img_0679,data\raw\img_0679.jpg,0.6771473437547684
A white shirt with a tie,compositional,2,img_0446,data\raw\img_0446.jpg,0.5948296785354614
A white shirt with a tie,compositional,3,img_0968,data\raw\img_0968.jpg,0.574090987443924
A white shirt with a tie,compositional,4,img_0920,data\raw\img_0920.jpg,0.5338594615459442
A white shirt with a tie,compositional,5,img_0009,data\raw\img_0009.jpg,0.5331736207008362
