region_index,image_id,image_path,annotation_id,category_id,category_name,bbox_x,bbox_y,bbox_width,bbox_height,attribute_ids
75,img_0460,data\raw\img_0460.jpg,129,17,glove,866.0,534.0,114.0,64.0,[]
76,img_0460,data\raw\img_0460.jpg,130,24,"bag, wallet",548.0,326.0,35.0,355.0,[]
77,img_0460,data\raw\img_0460.jpg,131,4,jacket,483.0,302.0,402.0,379.0,"[316, 317, 17, 142, 295, 136, 225, 115]"
78,img_0460,data\raw\img_0460.jpg,134,13,glasses,596.0,194.0,95.0,52.0,[]
79,img_0031,data\raw\img_0031.jpg,136,7,shorts,332.0,353.0,85.0,37.0,"[317, 297, 295, 298, 136, 149, 115]"
80,img_0031,data\raw\img_0031.jpg,137,21,"tights, stockings",339.0,373.0,45.0,126.0,[]
81,img_0031,data\raw\img_0031.jpg,138,21,"tights, stockings",370.0,388.0,33.0,108.0,[]
82,img_0031,data\raw\img_0031.jpg,139,4,jacket,317.0,204.0,132.0,161.0,"[317, 17, 142, 316, 146, 295, 136]"
83,img_0031,data\raw\img_0031.jpg,140,1,"top, t-shirt, sweatshirt",337.0,211.0,87.0,156.0,"[137, 12, 295, 305, 115, 145, 147, 324]"
84,img_0031,data\raw\img_0031.jpg,141,24,"bag, wallet",287.0,221.0,71.0,158.0,[]
85,img_0031,data\raw\img_0031.jpg,145,23,shoe,366.0,495.0,26.0,47.0,[]
86,img_0031,data\raw\img_0031.jpg,146,23,shoe,339.0,490.0,32.0,66.0,[]
87,img_0443,data\raw\img_0443.jpg,147,23,shoe,282.0,851.0,67.0,134.0,[]
88,img_0443,data\raw\img_0443.jpg,148,23,shoe,339.0,864.0,58.0,109.0,[]
89,img_0443,data\raw\img_0443.jpg,149,8,skirt,248.0,381.0,200.0,283.0,"[316, 317, 142, 295, 127, 114, 149, 229]"
90,img_0443,data\raw\img_0443.jpg,153,1,"top, t-shirt, sweatshirt",183.0,177.0,264.0,229.0,"[317, 316, 146, 295, 135, 8, 325, 115, 141]"
91,img_0797,data\raw\img_0797.jpg,154,23,shoe,298.0,781.0,12.0,88.0,[]
92,img_0797,data\raw\img_0797.jpg,155,23,shoe,302.0,836.0,42.0,79.0,[]
93,img_0797,data\raw\img_0797.jpg,156,10,dress,206.0,259.0,213.0,355.0,"[316, 317, 295, 102, 127, 149, 115, 145]"
94,img_0873,data\raw\img_0873.jpg,160,10,dress,233.0,187.0,200.0,417.0,"[317, 142, 295, 95, 304, 149, 115, 229, 128]"
95,img_0873,data\raw\img_0873.jpg,162,21,"tights, stockings",333.0,590.0,83.0,334.0,[]
96,img_0873,data\raw\img_0873.jpg,163,21,"tights, stockings",250.0,582.0,93.0,375.0,[]
97,img_0873,data\raw\img_0873.jpg,164,23,shoe,299.0,899.0,48.0,93.0,[]
98,img_0873,data\raw\img_0873.jpg,165,23,shoe,340.0,861.0,43.0,96.0,[]
99,img_0831,data\raw\img_0831.jpg,166,1,"top, t-shirt, sweatshirt",237.0,250.0,148.0,173.0,"[317, 316, 142, 146, 295, 135, 11, 115]"
100,img_0831,data\raw\img_0831.jpg,168,8,skirt,223.0,416.0,179.0,265.0,"[316, 317, 142, 295, 150, 68, 115, 229, 128]"
101,img_0831,data\raw\img_0831.jpg,169,24,"bag, wallet",170.0,254.0,78.0,393.0,[]
102,img_0831,data\raw\img_0831.jpg,170,23,shoe,328.0,809.0,57.0,136.0,[]
103,img_0831,data\raw\img_0831.jpg,171,23,shoe,260.0,813.0,61.0,145.0,[]
104,img_0901,data\raw\img_0901.jpg,172,22,sock,382.0,797.0,33.0,14.0,[]
105,img_0901,data\raw\img_0901.jpg,173,22,sock,346.0,884.0,13.0,11.0,[]
106,img_0901,data\raw\img_0901.jpg,174,23,shoe,371.0,797.0,50.0,98.0,[]
107,img_0901,data\raw\img_0901.jpg,175,23,shoe,303.0,882.0,66.0,68.0,[]
108,img_0901,data\raw\img_0901.jpg,176,6,pants,260.0,626.0,213.0,264.0,"[317, 137, 295, 310, 132, 154, 115]"
109,img_0901,data\raw\img_0901.jpg,177,9,coat,203.0,158.0,328.0,482.0,"[316, 317, 318, 142, 295, 136, 92, 225, 149, 115]"
110,img_0901,data\raw\img_0901.jpg,178,0,"shirt, blouse",315.0,172.0,70.0,127.0,"[325, 225]"
111,img_0901,data\raw\img_0901.jpg,183,19,belt,277.0,367.0,167.0,114.0,[]
112,img_0023,data\raw\img_0023.jpg,205,10,dress,279.0,319.0,216.0,513.0,"[317, 312, 145, 136, 149, 325, 101, 286, 115]"
113,img_0023,data\raw\img_0023.jpg,206,15,"headband, head covering, hair accessory",301.0,166.0,120.0,17.0,[]
114,img_0427,data\raw\img_0427.jpg,218,1,"top, t-shirt, sweatshirt",221.0,243.0,202.0,298.0,"[318, 142, 295, 136, 114, 11, 147, 302]"
115,img_0427,data\raw\img_0427.jpg,219,6,pants,218.0,510.0,174.0,358.0,"[316, 317, 295, 136, 230, 46, 154, 115, 128]"
116,img_0427,data\raw\img_0427.jpg,221,23,shoe,279.0,913.0,43.0,26.0,[]
117,img_0427,data\raw\img_0427.jpg,222,23,shoe,263.0,862.0,72.0,43.0,[]
118,img_0427,data\raw\img_0427.jpg,223,24,"bag, wallet",185.0,565.0,42.0,89.0,[]
119,img_0945,data\raw\img_0945.jpg,224,1,"top, t-shirt, sweatshirt",335.0,206.0,228.0,295.0,"[317, 146, 142, 136, 115, 286, 313]"
120,img_0945,data\raw\img_0945.jpg,232,8,skirt,259.0,484.0,553.0,538.0,"[317, 312, 295, 120, 143, 69, 155, 115, 302, 229]"
121,img_0433,data\raw\img_0433.jpg,237,1,"top, t-shirt, sweatshirt",612.0,92.0,335.0,359.0,"[317, 316, 142, 146, 295, 136, 114]"
122,img_0433,data\raw\img_0433.jpg,238,1,"top, t-shirt, sweatshirt",725.0,151.0,152.0,268.0,"[316, 317, 295, 147, 10]"
123,img_0433,data\raw\img_0433.jpg,240,7,shorts,660.0,347.0,155.0,138.0,"[148, 142, 309, 317, 295, 136, 60, 115, 234]"
124,img_0433,data\raw\img_0433.jpg,241,20,leg warmer,518.0,222.0,122.0,165.0,[]
125,img_0433,data\raw\img_0433.jpg,242,20,leg warmer,364.0,424.0,161.0,153.0,[]
126,img_0082,data\raw\img_0082.jpg,243,10,dress,185.0,458.0,317.0,532.0,"[316, 317, 229, 129, 295, 149, 115, 113, 141]"
127,img_0082,data\raw\img_0082.jpg,245,15,"headband, head covering, hair accessory",255.0,225.0,146.0,73.0,[]
128,img_0538,data\raw\img_0538.jpg,246,8,skirt,275.0,392.0,181.0,299.0,"[316, 142, 295, 150, 67, 127, 322, 115, 229]"
129,img_0538,data\raw\img_0538.jpg,247,1,"top, t-shirt, sweatshirt",315.0,216.0,106.0,190.0,"[317, 316, 142, 146, 295, 135, 115]"
130,img_0538,data\raw\img_0538.jpg,253,19,belt,214.0,373.0,296.0,130.0,[]
131,img_0538,data\raw\img_0538.jpg,258,9,coat,184.0,184.0,326.0,372.0,"[317, 148, 136, 80, 311, 289, 115, 145, 229]"
132,img_0538,data\raw\img_0538.jpg,259,23,shoe,334.0,837.0,62.0,127.0,[]
133,img_0538,data\raw\img_0538.jpg,260,23,shoe,329.0,809.0,30.0,113.0,[]
134,img_0980,data\raw\img_0980.jpg,261,23,shoe,350.0,855.0,83.0,91.0,[]
135,img_0980,data\raw\img_0980.jpg,262,23,shoe,240.0,798.0,51.0,136.0,[]
136,img_0980,data\raw\img_0980.jpg,268,10,dress,236.0,175.0,234.0,452.0,"[316, 317, 142, 229, 295, 127, 149, 115, 106]"
137,img_0749,data\raw\img_0749.jpg,270,10,dress,253.0,174.0,207.0,428.0,"[317, 117, 305, 149, 113, 115, 229, 141]"
138,img_0749,data\raw\img_0749.jpg,271,23,shoe,467.0,825.0,113.0,108.0,[]
139,img_0749,data\raw\img_0749.jpg,272,23,shoe,168.0,822.0,125.0,108.0,[]
140,img_0749,data\raw\img_0749.jpg,274,19,belt,289.0,337.0,116.0,38.0,[]
141,img_0718,data\raw\img_0718.jpg,276,10,dress,23.0,169.0,602.0,821.0,"[316, 108, 295, 229, 155, 121, 325, 115, 141]"
142,img_0970,data\raw\img_0970.jpg,277,10,dress,198.0,459.0,312.0,564.0,"[317, 309, 295, 140, 115, 106, 229, 128]"
143,img_0221,data\raw\img_0221.jpg,280,10,dress,169.0,194.0,185.0,405.0,"[317, 295, 305, 127, 114, 149, 141]"
144,img_0221,data\raw\img_0221.jpg,281,23,shoe,250.0,892.0,56.0,82.0,[]
145,img_0221,data\raw\img_0221.jpg,282,23,shoe,228.0,834.0,25.0,90.0,[]
146,img_0924,data\raw\img_0924.jpg,284,10,dress,114.0,271.0,326.0,583.0,"[316, 142, 295, 129, 229, 104, 149, 325, 115]"
147,img_0599,data\raw\img_0599.jpg,290,8,skirt,124.0,393.0,204.0,189.0,"[316, 142, 295, 328, 118, 149, 115, 65]"
148,img_0599,data\raw\img_0599.jpg,291,1,"top, t-shirt, sweatshirt",136.0,256.0,175.0,151.0,"[317, 316, 142, 5, 146, 295, 135, 115]"
149,img_0599,data\raw\img_0599.jpg,292,18,watch,207.0,367.0,14.0,23.0,[]
150,img_0599,data\raw\img_0599.jpg,293,24,"bag, wallet",222.0,358.0,90.0,140.0,[]
151,img_0599,data\raw\img_0599.jpg,294,24,"bag, wallet",116.0,285.0,135.0,220.0,[]
152,img_0282,data\raw\img_0282.jpg,298,1,"top, t-shirt, sweatshirt",264.0,216.0,169.0,241.0,"[316, 137, 295, 325, 115, 145, 9, 147]"
153,img_0282,data\raw\img_0282.jpg,299,7,shorts,236.0,418.0,193.0,177.0,"[316, 317, 137, 295, 143, 60, 149, 115, 234]"
154,img_0282,data\raw\img_0282.jpg,300,23,shoe,351.0,846.0,20.0,108.0,[]
155,img_0282,data\raw\img_0282.jpg,301,23,shoe,310.0,885.0,48.0,94.0,[]
156,img_0282,data\raw\img_0282.jpg,302,9,coat,197.0,186.0,287.0,421.0,"[316, 317, 295, 136, 149, 115, 145, 88]"
157,img_0761,data\raw\img_0761.jpg,303,9,coat,269.0,145.0,349.0,506.0,"[316, 317, 295, 226, 136, 82, 149, 115, 141]"
158,img_0761,data\raw\img_0761.jpg,310,19,belt,354.0,352.0,156.0,49.0,[]
159,img_0761,data\raw\img_0761.jpg,311,6,pants,356.0,636.0,158.0,340.0,"[317, 137, 36, 295, 125, 298, 154, 115, 230]"
160,img_0761,data\raw\img_0761.jpg,312,23,shoe,356.0,927.0,56.0,56.0,[]
161,img_0761,data\raw\img_0761.jpg,313,23,shoe,441.0,971.0,51.0,23.0,[]
162,img_0854,data\raw\img_0854.jpg,317,9,coat,204.0,130.0,330.0,467.0,"[316, 317, 295, 136, 149, 79, 115, 145]"
163,img_0854,data\raw\img_0854.jpg,318,19,belt,319.0,260.0,109.0,86.0,[]
164,img_0854,data\raw\img_0854.jpg,319,23,shoe,336.0,864.0,65.0,136.0,[]
165,img_0854,data\raw\img_0854.jpg,320,23,shoe,254.0,802.0,49.0,129.0,[]
166,img_0854,data\raw\img_0854.jpg,322,10,dress,277.0,160.0,195.0,483.0,"[317, 312, 295, 141, 151, 101, 115, 128]"
167,img_0501,data\raw\img_0501.jpg,323,23,shoe,337.0,760.0,66.0,153.0,[]
168,img_0501,data\raw\img_0501.jpg,324,23,shoe,277.0,866.0,81.0,141.0,[]
169,img_0501,data\raw\img_0501.jpg,325,10,dress,265.0,232.0,123.0,347.0,"[316, 317, 229, 129, 295, 149, 139, 98, 115]"
170,img_0501,data\raw\img_0501.jpg,327,9,coat,171.0,185.0,281.0,433.0,"[316, 317, 295, 135, 141, 227, 149, 115, 89]"
171,img_0501,data\raw\img_0501.jpg,329,19,belt,261.0,328.0,133.0,81.0,[]
172,img_0917,data\raw\img_0917.jpg,331,6,pants,141.0,490.0,378.0,312.0,"[317, 36, 295, 135, 298, 154, 115, 230]"
173,img_0917,data\raw\img_0917.jpg,332,23,shoe,220.0,709.0,107.0,116.0,[]
174,img_0917,data\raw\img_0917.jpg,333,23,shoe,18.0,793.0,146.0,67.0,[]
175,img_0917,data\raw\img_0917.jpg,334,1,"top, t-shirt, sweatshirt",351.0,396.0,171.0,251.0,"[316, 295, 135, 147, 115, 145, 10, 333]"
176,img_0974,data\raw\img_0974.jpg,337,8,skirt,160.0,394.0,191.0,223.0,"[142, 295, 305, 68, 118, 149, 115, 325]"
177,img_0974,data\raw\img_0974.jpg,338,1,"top, t-shirt, sweatshirt",196.0,180.0,141.0,231.0,"[317, 146, 142, 295, 305, 135, 115]"
178,img_0974,data\raw\img_0974.jpg,340,23,shoe,221.0,903.0,50.0,64.0,[]
179,img_0974,data\raw\img_0974.jpg,341,23,shoe,272.0,812.0,48.0,114.0,[]
180,img_0083,data\raw\img_0083.jpg,344,24,"bag, wallet",391.0,304.0,63.0,343.0,[]
181,img_0083,data\raw\img_0083.jpg,345,10,dress,389.0,293.0,240.0,378.0,"[317, 295, 140, 149, 115, 106, 302, 128]"
182,img_0841,data\raw\img_0841.jpg,348,1,"top, t-shirt, sweatshirt",260.0,210.0,154.0,320.0,"[316, 317, 137, 295, 149, 11, 115, 145]"
183,img_0841,data\raw\img_0841.jpg,349,23,shoe,301.0,693.0,40.0,80.0,[]
184,img_0841,data\raw\img_0841.jpg,350,23,shoe,343.0,739.0,50.0,71.0,[]
185,img_0841,data\raw\img_0841.jpg,351,6,pants,274.0,519.0,129.0,235.0,"[316, 36, 317, 295, 136, 230, 154, 115, 128]"
186,img_0276,data\raw\img_0276.jpg,357,10,dress,147.0,269.0,203.0,447.0,"[316, 148, 137, 317, 295, 115, 145]"
187,img_0276,data\raw\img_0276.jpg,358,9,coat,27.0,208.0,547.0,782.0,"[317, 137, 295, 153, 311, 94, 115, 145]"
188,img_0276,data\raw\img_0276.jpg,360,21,"tights, stockings",155.0,679.0,109.0,344.0,[]
189,img_0276,data\raw\img_0276.jpg,361,21,"tights, stockings",260.0,704.0,91.0,319.0,[]
190,img_0709,data\raw\img_0709.jpg,363,1,"top, t-shirt, sweatshirt",180.0,207.0,174.0,285.0,"[316, 317, 295, 136, 11, 147, 115, 145]"
191,img_0709,data\raw\img_0709.jpg,365,6,pants,172.0,470.0,179.0,366.0,"[316, 317, 38, 295, 135, 154, 115]"
192,img_0709,data\raw\img_0709.jpg,367,4,jacket,144.0,182.0,283.0,343.0,"[146, 17, 142, 318, 295, 136, 311, 225, 115]"
193,img_0709,data\raw\img_0709.jpg,368,23,shoe,232.0,834.0,23.0,93.0,[]
194,img_0709,data\raw\img_0709.jpg,369,23,shoe,249.0,873.0,48.0,92.0,[]
195,img_0867,data\raw\img_0867.jpg,370,15,"headband, head covering, hair accessory",275.0,86.0,87.0,66.0,[]
196,img_0867,data\raw\img_0867.jpg,371,23,shoe,164.0,801.0,96.0,77.0,[]
197,img_0867,data\raw\img_0867.jpg,372,23,shoe,403.0,875.0,92.0,36.0,[]
198,img_0867,data\raw\img_0867.jpg,376,10,dress,127.0,192.0,372.0,713.0,"[317, 142, 309, 108, 295, 129, 155, 114]"
199,img_0374,data\raw\img_0374.jpg,377,24,"bag, wallet",233.0,398.0,85.0,57.0,[]
200,img_0374,data\raw\img_0374.jpg,378,23,shoe,298.0,861.0,78.0,113.0,[]
201,img_0374,data\raw\img_0374.jpg,379,23,shoe,265.0,838.0,59.0,109.0,[]
202,img_0374,data\raw\img_0374.jpg,380,10,dress,223.0,211.0,205.0,766.0,"[317, 142, 309, 108, 295, 305, 155, 114, 229, 128]"
203,img_0152,data\raw\img_0152.jpg,383,6,pants,411.0,402.0,229.0,549.0,"[295, 132, 326, 137, 230, 141, 44, 316, 325, 154, 115]"
204,img_0152,data\raw\img_0152.jpg,384,23,shoe,437.0,922.0,96.0,48.0,[]
205,img_0152,data\raw\img_0152.jpg,385,23,shoe,528.0,942.0,52.0,31.0,[]
206,img_0152,data\raw\img_0152.jpg,386,0,"shirt, blouse",453.0,198.0,260.0,298.0,"[316, 317, 295, 136, 225, 115]"
207,img_0152,data\raw\img_0152.jpg,387,4,jacket,435.0,199.0,276.0,344.0,"[316, 17, 142, 317, 295, 136, 225, 147, 115]"
208,img_0152,data\raw\img_0152.jpg,393,18,watch,685.0,489.0,28.0,26.0,[]
209,img_0152,data\raw\img_0152.jpg,394,23,shoe,604.0,435.0,79.0,130.0,[]
210,img_0152,data\raw\img_0152.jpg,395,13,glasses,514.0,116.0,74.0,33.0,[]
211,img_0964,data\raw\img_0964.jpg,396,10,dress,221.0,214.0,281.0,554.0,"[317, 137, 295, 301, 153, 114, 101, 145, 326]"
212,img_0964,data\raw\img_0964.jpg,400,23,shoe,351.0,773.0,56.0,115.0,[]
213,img_0964,data\raw\img_0964.jpg,401,22,sock,370.0,766.0,34.0,39.0,[]
214,img_0964,data\raw\img_0964.jpg,402,23,shoe,285.0,866.0,89.0,111.0,[]
215,img_0964,data\raw\img_0964.jpg,403,22,sock,311.0,819.0,53.0,89.0,[]
216,img_0531,data\raw\img_0531.jpg,404,8,skirt,244.0,519.0,173.0,72.0,"[317, 74, 304, 118, 149, 115]"
217,img_0531,data\raw\img_0531.jpg,405,21,"tights, stockings",277.0,588.0,67.0,130.0,[]
218,img_0531,data\raw\img_0531.jpg,406,21,"tights, stockings",340.0,582.0,56.0,106.0,[]
219,img_0531,data\raw\img_0531.jpg,407,23,shoe,264.0,704.0,79.0,266.0,[]
220,img_0531,data\raw\img_0531.jpg,408,23,shoe,319.0,681.0,77.0,238.0,[]
221,img_0531,data\raw\img_0531.jpg,409,4,jacket,207.0,224.0,262.0,352.0,"[317, 142, 136, 311, 289, 147, 115, 225]"
222,img_0531,data\raw\img_0531.jpg,412,1,"top, t-shirt, sweatshirt",305.0,234.0,103.0,289.0,"[316, 328, 295, 136, 147, 115, 145, 16, 7]"
223,img_0531,data\raw\img_0531.jpg,414,24,"bag, wallet",384.0,256.0,97.0,295.0,[]
224,img_0397,data\raw\img_0397.jpg,417,13,glasses,660.0,153.0,75.0,33.0,[]
225,img_0397,data\raw\img_0397.jpg,418,15,"headband, head covering, hair accessory",693.0,95.0,15.0,3.0,[]
226,img_0397,data\raw\img_0397.jpg,420,24,"bag, wallet",766.0,248.0,60.0,358.0,[]
227,img_0397,data\raw\img_0397.jpg,421,1,"top, t-shirt, sweatshirt",613.0,240.0,197.0,231.0,"[317, 137, 316, 146, 11, 115, 145]"
228,img_0397,data\raw\img_0397.jpg,422,7,shorts,530.0,443.0,252.0,292.0,"[316, 137, 152, 142, 295, 340, 115]"
229,img_0397,data\raw\img_0397.jpg,423,23,shoe,597.0,871.0,81.0,113.0,[]
230,img_0397,data\raw\img_0397.jpg,424,23,shoe,665.0,882.0,66.0,113.0,[]
231,img_0412,data\raw\img_0412.jpg,425,23,shoe,296.0,850.0,52.0,95.0,[]
232,img_0412,data\raw\img_0412.jpg,426,23,shoe,341.0,874.0,51.0,107.0,[]
